genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
classical christmas,0.83,0.141,0.339,77.487,0.284,0.0345,0.153,0.894
classical christmas,0.943,0.162,0.525,133.38,0.376,0.11,0.601,7.17e-06
classical christmas,0.913,0.157,0.525,131.18,0.268,0.097,0.181,0
classical christmas,0.926,0.184,0.439,70.499,0.349,0.141,0.22,1.62e-05
classical christmas,0.957,0.157,0.446,71.649,0.255,0.177,0.354,1.29e-06
classical christmas,0.93,0.149,0.539,136.637,0.286,0.184,0.513,0
classical christmas,0.927,0.169,0.521,111.782,0.354,0.0834,0.489,0
classical christmas,0.93,0.239,0.508,127.265,0.439,0.0457,0.0764,0.000467
classical christmas,0.945,0.109,0.463,133.645,0.129,0.122,0.455,0
classical christmas,0.967,0.0911,0.392,104.027,0.196,0.0719,0.247,3.14e-06
classical christmas,0.954,0.0715,0.352,82.316,0.354,0.0617,0.129,0.0001
classical christmas,0.929,0.0907,0.504,82.261,0.237,0.524,0.549,0
classical christmas,0.947,0.203,0.392,148.508,0.443,0.133,0.222,1.76e-06
classical christmas,0.855,0.198,0.62,101.736,0.382,0.379,0.329,0
classical christmas,0.961,0.243,0.376,90.096,0.295,0.104,0.647,7.01e-06
classical christmas,0.93,0.212,0.446,105.815,0.332,0.0487,0.269,1.73e-05
classical christmas,0.907,0.394,0.406,139.72,0.465,0.0867,0.09,0.0015
classical christmas,0.917,0.113,0.612,106.755,0.347,0.481,0.238,0
classical christmas,0.928,0.237,0.425,91.752,0.283,0.152,0.226,9.42e-06
classical christmas,0.939,0.188,0.34,69.976,0.338,0.107,0.294,2.04e-05
classical christmas,0.962,0.0613,0.339,95.731,0.0771,0.0511,0.687,7.6e-06
classical christmas,0.937,0.0789,0.377,168.13,0.378,0.171,0.0657,0
classical christmas,0.914,0.175,0.419,76.754,0.248,0.0566,0.135,0.00116
classical christmas,0.941,0.0788,0.472,95.006,0.259,0.206,0.402,0
classical christmas,0.918,0.106,0.5,100.829,0.277,0.0983,0.115,0
classical christmas,0.923,0.114,0.414,100.692,0.256,0.0369,0.234,0
classical christmas,0.927,0.13,0.42,135.809,0.198,0.0745,0.0667,0
classical christmas,0.93,0.0426,0.312,89.778,0.111,0.0606,0.124,5.29e-06
classical christmas,0.958,0.221,0.352,70.532,0.393,0.111,0.214,3.02e-05
classical christmas,0.955,0.306,0.454,120.891,0.406,0.0981,0.301,0.000168
classical christmas,0.967,0.241,0.282,72.6,0.186,0.0849,0.177,6.91e-05
classical christmas,0.918,0.203,0.406,147.617,0.39,0.0401,0.174,0.849
classical christmas,0.904,0.0338,0.333,125.688,0.201,0.0506,0.078,0.642
classical christmas,0.878,0.32,0.58,150.492,0.784,0.0494,0.0544,0.73
classical,0.878,0.197,0.239,103.836,0.349,0.0326,0.0332,0.874
classical christmas,0.878,0.197,0.239,103.836,0.349,0.0326,0.0332,0.874
classical,0.876,0.331,0.223,84.381,0.847,0.0324,0.0706,0.924
classical christmas,0.876,0.331,0.223,84.381,0.847,0.0324,0.0706,0.924
classical,0.929,0.162,0.375,113.91,0.305,0.0362,0.0525,0.219
classical christmas,0.929,0.162,0.375,113.91,0.305,0.0362,0.0525,0.219
classical,0.911,0.198,0.243,128.957,0.57,0.035,0.0635,0.939
classical christmas,0.911,0.198,0.243,128.957,0.57,0.035,0.0635,0.939
classical,0.865,0.261,0.393,79.128,0.751,0.034,0.112,0.795
classical christmas,0.865,0.261,0.393,79.128,0.751,0.034,0.112,0.795
classical,0.88,0.138,0.215,100.741,0.463,0.0343,0.0831,0.0329
classical christmas,0.88,0.138,0.215,100.741,0.463,0.0343,0.0831,0.0329
classical,0.701,0.39,0.276,85.556,0.955,0.0349,0.214,0.863
