genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
electro house,0.00714,0.905,0.625,108.013,0.536,0.0406,0.0575,0.0892
electro house,0.144,0.675,0.733,122.011,0.54,0.0647,0.1,0.186
electro house,0.329,0.589,0.599,97.94,0.452,0.117,0.0594,0.000109
electro house,0.0126,0.887,0.695,128.011,0.165,0.0777,0.0549,0.0925
electro house,0.000145,0.879,0.785,125.009,0.335,0.0929,0.0748,0.801
electro house,0.0101,0.944,0.69,125.929,0.426,0.236,0.0305,0.00419
electro house,0.0766,0.785,0.632,123.999,0.325,0.0747,0.104,0.000171
electro house,0.235,0.957,0.623,127.968,0.53,0.0427,0.398,3.25e-05
electro house,0.129,0.915,0.544,126.094,0.521,0.0841,0.115,0.000914
electro house,0.0289,0.856,0.413,128.017,0.35,0.0808,0.343,0.00571
electro house,0.0207,0.674,0.733,128.03,0.491,0.0316,0.0701,0.173
electro house,0.545,0.935,0.664,104.004,0.134,0.039,0.176,0.855
electro house,0.213,0.823,0.646,128.035,0.391,0.0394,0.322,0
electro house,0.283,0.985,0.701,127.974,0.039,0.0675,0.617,0.281
electro house,0.0211,0.856,0.596,127.949,0.711,0.0346,0.141,0.0178
electro house,0.0287,0.945,0.631,127.983,0.406,0.04,0.967,0.913
electro house,0.916,0.277,0.598,66.01,0.143,0.0274,0.0568,3.8e-06
electro house,0.015,0.949,0.606,120.031,0.423,0.0414,0.109,2.76e-05
electro house,0.0698,0.943,0.76,127.976,0.662,0.0363,0.525,0
electro house,0.145,0.869,0.731,127.971,0.783,0.0409,0.116,0.000185
electro house,0.00205,0.997,0.643,128.004,0.546,0.0483,0.659,0.672
electro house,0.367,0.897,0.755,128,0.704,0.0329,0.358,0.00215
electro house,0.269,0.735,0.591,128.054,0.58,0.0442,0.161,0
progressive electro house,0.269,0.735,0.591,128.054,0.58,0.0442,0.161,0
electro house,0.0104,0.807,0.719,122.024,0.893,0.0612,0.0357,0.00347
progressive electro house,0.0104,0.807,0.719,122.024,0.893,0.0612,0.0357,0.00347
electro house,0.00112,0.545,0.7,109.995,0.859,0.0638,0.0578,0.011
progressive electro house,0.00112,0.545,0.7,109.995,0.859,0.0638,0.0578,0.011
electro house,0.0221,0.684,0.576,137.988,0.278,0.032,0.098,1.18e-05
progressive electro house,0.0221,0.684,0.576,137.988,0.278,0.032,0.098,1.18e-05
electro house,0.0512,0.833,0.624,134.998,0.286,0.0333,0.135,0.124
progressive electro house,0.0512,0.833,0.624,134.998,0.286,0.0333,0.135,0.124
electro house,0.0508,0.677,0.633,115.912,0.304,0.0477,0.104,0.000886
progressive electro house,0.0508,0.677,0.633,115.912,0.304,0.0477,0.104,0.000886
electro house,0.00294,0.557,0.749,119.986,0.382,0.0844,0.0795,0.00306
progressive electro house,0.00294,0.557,0.749,119.986,0.382,0.0844,0.0795,0.00306
electro house,0.0074,0.832,0.807,127.995,0.41,0.253,0.34,0.0674
progressive electro house,0.0074,0.832,0.807,127.995,0.41,0.253,0.34,0.0674
electro house,0.089,0.75,0.707,104.024,0.362,0.0584,0.105,4.2e-06
progressive electro house,0.089,0.75,0.707,104.024,0.362,0.0584,0.105,4.2e-06
electro house,0.0286,0.783,0.613,104.973,0.719,0.06,0.111,0
progressive electro house,0.0286,0.783,0.613,104.973,0.719,0.06,0.111,0
electro house,0.156,0.707,0.663,80.145,0.64,0.0725,0.0905,0
progressive electro house,0.156,0.707,0.663,80.145,0.64,0.0725,0.0905,0
electro house,0.564,0.779,0.471,127.747,0.53,0.0974,0.111,0
progressive electro house,0.564,0.779,0.471,127.747,0.53,0.0974,0.111,0
electro house,0.0349,0.799,0.691,115.918,0.816,0.0363,0.298,0
progressive electro house,0.0349,0.799,0.691,115.918,0.816,0.0363,0.298,0
electro house,0.149,0.679,0.678,99.984,0.687,0.0519,0.143,0.0893
progressive electro house,0.149,0.679,0.678,99.984,0.687,0.0519,0.143,0.0893
electro house,0.0178,0.858,0.529,126.003,0.655,0.0445,0.242,0
progressive electro house,0.0178,0.858,0.529,126.003,0.655,0.0445,0.242,0
electro house,0.0102,0.676,0.527,128.119,0.113,0.0632,0.445,0.718
progressive electro house,0.0102,0.676,0.527,128.119,0.113,0.0632,0.445,0.718
electro house,0.000293,0.816,0.65,128.175,0.132,0.0431,0.0894,0.0315
progressive electro house,0.000293,0.816,0.65,128.175,0.132,0.0431,0.0894,0.0315
electro house,0.00735,0.94,0.581,128.111,0.427,0.336,0.281,0.0155
progressive electro house,0.00735,0.94,0.581,128.111,0.427,0.336,0.281,0.0155
electro house,0.00351,0.738,0.6,128.153,0.151,0.0301,0.0869,0.905
progressive electro house,0.00351,0.738,0.6,128.153,0.151,0.0301,0.0869,0.905
electro house,0.000705,0.901,0.566,128.011,0.224,0.0754,0.109,0.000317
progressive electro house,0.000705,0.901,0.566,128.011,0.224,0.0754,0.109,0.000317
electro house,0.00341,0.801,0.598,127.012,0.426,0.0558,0.0498,0.0744
progressive electro house,0.00341,0.801,0.598,127.012,0.426,0.0558,0.0498,0.0744
electro house,0.00926,0.784,0.542,128.058,0.324,0.0382,0.094,0.898
progressive electro house,0.00926,0.784,0.542,128.058,0.324,0.0382,0.094,0.898
electro house,0.00829,0.732,0.607,128.052,0.454,0.0536,0.342,9.91e-05
progressive electro house,0.00829,0.732,0.607,128.052,0.454,0.0536,0.342,9.91e-05
electro house,0.0203,0.672,0.584,128.137,0.061,0.0355,0.175,0.54
progressive electro house,0.0203,0.672,0.584,128.137,0.061,0.0355,0.175,0.54
electro house,0.000874,0.852,0.564,128.127,0.0672,0.0419,0.109,0.849
progressive electro house,0.000874,0.852,0.564,128.127,0.0672,0.0419,0.109,0.849
electro house,8.62e-05,0.898,0.541,128.189,0.112,0.0595,0.17,0.0344
progressive electro house,8.62e-05,0.898,0.541,128.189,0.112,0.0595,0.17,0.0344
electro house,0.000902,0.876,0.648,128.178,0.218,0.0533,0.268,0.00418
progressive electro house,0.000902,0.876,0.648,128.178,0.218,0.0533,0.268,0.00418
electro house,0.000104,0.919,0.578,128.202,0.409,0.0387,0.142,0.00501
progressive electro house,0.000104,0.919,0.578,128.202,0.409,0.0387,0.142,0.00501
electro house,0.0016,0.935,0.693,128.189,0.261,0.0815,0.232,0.0409
progressive electro house,0.0016,0.935,0.693,128.189,0.261,0.0815,0.232,0.0409
electro house,3.67e-05,0.95,0.663,128.156,0.0398,0.162,0.294,0.921
