genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
indie r&b,0.00311,0.543,0.889,140.029,0.314,0.128,0.234,6.85e-06
indie r&b,0.00179,0.676,0.769,131.938,0.311,0.277,0.251,0
indie r&b,0.0335,0.485,0.885,82.992,0.28,0.24,0.0805,0
indie r&b,0.139,0.362,0.522,135.797,0.179,0.048,0.111,2.83e-05
indie r&b,0.0931,0.416,0.511,86.678,0.268,0.384,0.0974,1.12e-05
indie r&b,0.0106,0.477,0.84,170.99,0.377,0.325,0.157,0
indie r&b,0.000394,0.519,0.842,160.003,0.255,0.223,0.131,0.00069
indie r&b,0.0204,0.334,0.804,137.855,0.211,0.385,0.118,0
indie r&b,0.0462,0.558,0.853,142.079,0.666,0.202,0.341,0
indie r&b,0.511,0.528,0.757,146.056,0.3,0.274,0.0936,0.000334
indie r&b,0.653,0.621,0.747,89.282,0.311,0.394,0.124,0
indie r&b,0.434,0.645,0.578,90.664,0.313,0.0476,0.36,0
indie r&b,0.0354,0.491,0.663,90.99,0.332,0.0537,0.57,0.000366
indie r&b,0.246,0.455,0.584,74.634,0.306,0.0488,0.181,0
indie r&b,0.229,0.612,0.571,133.995,0.0852,0.045,0.127,0
indie r&b,0.0861,0.567,0.356,135.553,0.116,0.0798,0.137,0
indie r&b,0.464,0.481,0.38,105.36,0.238,0.0567,0.0765,0
indie r&b,0.124,0.77,0.702,107.951,0.591,0.0482,0.103,0
indie r&b,0.121,0.559,0.602,100.021,0.266,0.0276,0.107,0
indie r&b,0.438,0.278,0.483,119.98,0.367,0.0372,0.0767,0
indie r&b,0.0696,0.682,0.48,167.939,0.512,0.13,0.0463,0
indie r&b,0.145,0.33,0.354,173.664,0.0521,0.0526,0.273,0.00604
indie r&b,0.106,0.421,0.585,132.986,0.236,0.0707,0.14,9.54e-06
indie r&b,0.401,0.407,0.543,134.831,0.329,0.0389,0.202,0.000113
indie r&b,0.104,0.579,0.626,127.973,0.332,0.0429,0.133,0
indie r&b,0.487,0.654,0.839,120.012,0.634,0.122,0.0675,0.131
indie r&b,0.328,0.763,0.452,123.979,0.131,0.0409,0.124,0.0489
indie r&b,0.0149,0.747,0.85,124.01,0.513,0.0648,0.0234,0.507
indie r&b,0.0302,0.863,0.659,108.989,0.312,0.0357,0.0717,0.00178
indie r&b,0.108,0.495,0.552,79.601,0.419,0.143,0.0914,2e-06
indie r&b,0.226,0.483,0.803,115.106,0.268,0.225,0.0863,0.0724
indie r&b,0.114,0.696,0.69,135,0.661,0.0497,0.0998,3.39e-05
indie r&b,0.405,0.687,0.824,124.036,0.37,0.101,0.253,0.398
indie r&b,0.00302,0.652,0.738,129.007,0.483,0.0687,0.0946,0.201
indie r&b,0.0501,0.675,0.779,125.003,0.634,0.0416,0.0678,0.0307
indie r&b,0.068,0.669,0.785,124.966,0.422,0.0458,0.0788,1.15e-05
indie r&b,0.0283,0.506,0.581,91.288,0.288,0.0522,0.437,0.0355
indie r&b,0.761,0.314,0.326,77.669,0.0332,0.148,0.57,0.937
indie r&b,0.384,0.349,0.716,129.795,0.201,0.0498,0.098,0.00222
indie r&b,0.752,0.561,0.695,115.856,0.961,0.0926,0.273,0.0317
indie r&b,0.183,0.594,0.552,124.969,0.604,0.0778,0.109,0.0154
indie r&b,0.233,0.551,0.481,84.175,0.784,0.198,0.082,0
indie r&b,0.754,0.814,0.37,152.441,0.109,0.423,0.547,0.0381
indie r&b,0.239,0.423,0.736,60.475,0.597,0.0761,0.218,0
indie r&b,0.436,0.438,0.399,120.946,0.427,0.327,0.821,0.000109
