genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
rap metal,0.899,0.442,0.563,183.723,0.43,0.881,0.88,0
rap metal,0.759,0.573,0.708,159.792,0.314,0.571,0.124,0
rap metal,0.684,0.226,0.586,199.618,0.205,0.915,0.105,0
rap metal,0.711,0.683,0.447,141.124,0.0641,0.425,0.274,0.00125
rap metal,0.766,0.741,0.611,83.584,0.361,0.862,0.166,0
rap metal,0.857,0.394,0.547,114.725,0.312,0.0681,0.495,0
rap metal,0.727,0.681,0.584,65.227,0.3,0.322,0.282,0
rap metal,0.898,0.0671,0.457,134.364,0.281,0.249,0.651,0
rap metal,0.789,0.464,0.67,81.968,0.231,0.0947,0.0589,0
rap metal,0.935,0.0491,0.751,100.249,0.249,0.249,0.102,0
rap metal,0.000468,0.98,0.34,184.049,0.237,0.0756,0.23,0.741
rap metal,5.52e-06,0.96,0.409,160.035,0.337,0.0592,0.36,0.857
rap metal,0.00217,0.962,0.474,100.005,0.549,0.037,0.288,0.737
rap metal,0.923,0.907,0.281,145.049,0.0775,0.782,0.698,0.273
rap metal,0.000313,0.985,0.372,142.428,0.164,0.17,0.526,0.873
rap metal,0.000263,0.992,0.412,170.106,0.617,0.0862,0.278,0.889
rap metal,0.00284,0.874,0.496,115.007,0.333,0.0369,0.11,0.643
rap metal,0.000166,0.977,0.485,130.046,0.342,0.0551,0.128,0.826
rap metal,0.00055,0.938,0.436,134.965,0.15,0.0804,0.123,0.713
rap metal,0.744,0.535,0.39,134.5,0.0469,0.0296,0.0722,0.955
rap metal,0.000219,0.832,0.503,81.969,0.389,0.0408,0.604,0.749
rap metal,0.00333,0.952,0.533,100.041,0.0368,0.0596,0.127,0.828
funk metal,0.000405,0.98,0.467,123.089,0.213,0.0934,0.445,0.000908
funk metal,0.00145,0.854,0.684,141.409,0.693,0.0334,0.0913,0.000105
funk metal,0.00998,0.87,0.355,114.484,0.183,0.125,0.114,0.000111
funk metal,0.0648,0.77,0.635,96.697,0.643,0.0336,0.115,3.44e-06
funk metal,0.0364,0.886,0.681,118.783,0.393,0.0457,0.141,6.21e-06
funk metal,0.005,0.953,0.56,111.911,0.528,0.0851,0.226,1.6e-05
funk metal,0.00112,0.734,0.683,106.254,0.552,0.029,0.258,0.0139
funk metal,0.00432,0.94,0.595,111.071,0.842,0.0357,0.119,6.16e-06
funk metal,0.0108,0.974,0.337,151.251,0.452,0.114,0.296,0
funk metal,0.078,0.893,0.681,126.697,0.571,0.0347,0.154,0
funk metal,0.232,0.816,0.499,82.017,0.283,0.0358,0.105,0
funk metal,0.0312,0.921,0.394,166.897,0.541,0.0473,0.355,9.65e-06
funk metal,0.243,0.602,0.694,112.735,0.409,0.035,0.124,1.03e-05
funk metal,0.00382,0.881,0.59,118.023,0.652,0.0393,0.0861,1.65e-05
metal,4.3e-05,0.97,0.249,160.687,0.291,0.21,0.138,0.224
metal,0.00171,0.938,0.222,203.098,0.334,0.375,0.108,0.0845
metal,0.000116,0.938,0.289,173.882,0.352,0.163,0.106,0.0615
metal,0.00617,0.911,0.29,178.636,0.661,0.0975,0.331,0.0108
metal,0.000626,0.886,0.224,99.286,0.133,0.0772,0.63,0.834
metal,0.000608,0.911,0.386,158.045,0.186,0.0956,0.135,0.443
metal,0.000842,0.973,0.212,159.381,0.111,0.322,0.0921,0.0213
metal,0.000297,0.915,0.296,96.715,0.248,0.163,0.362,0.346
metal,0.0364,0.963,0.439,140.805,0.441,0.277,0.0784,0.00896
metal,8.08e-05,0.956,0.166,176.217,0.239,0.145,0.118,0.00515
alternative metal,0.964,0.541,0.144,79.081,0.152,0.0676,0.402,0.938
nu metal,0.964,0.541,0.144,79.081,0.152,0.0676,0.402,0.938
rap metal,0.964,0.541,0.144,79.081,0.152,0.0676,0.402,0.938
alternative metal,0.000157,0.991,0.373,197.973,0.32,0.214,0.162,1.29e-06
nu metal,0.000157,0.991,0.373,197.973,0.32,0.214,0.162,1.29e-06
