genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
pop rap,0.00311,0.543,0.889,140.029,0.314,0.128,0.234,6.85e-06
pop rap,0.00179,0.676,0.769,131.938,0.311,0.277,0.251,0
pop rap,0.0335,0.485,0.885,82.992,0.28,0.24,0.0805,0
pop rap,0.139,0.362,0.522,135.797,0.179,0.048,0.111,2.83e-05
pop rap,0.0931,0.416,0.511,86.678,0.268,0.384,0.0974,1.12e-05
pop rap,0.0106,0.477,0.84,170.99,0.377,0.325,0.157,0
pop rap,0.000394,0.519,0.842,160.003,0.255,0.223,0.131,0.00069
pop rap,0.0204,0.334,0.804,137.855,0.211,0.385,0.118,0
pop rap,0.0462,0.558,0.853,142.079,0.666,0.202,0.341,0
pop rap,0.511,0.528,0.757,146.056,0.3,0.274,0.0936,0.000334
pop rap,0.653,0.621,0.747,89.282,0.311,0.394,0.124,0
pop rap,0.623,0.395,0.685,105.403,0.367,0.344,0.515,0
pop rap,0.135,0.57,0.712,113.088,0.383,0.0564,0.544,1.48e-06
pop rap,0.53,0.725,0.67,145.123,0.286,0.357,0.779,0
pop rap,0.072,0.746,0.472,173.955,0.442,0.119,0.116,0
pop rap,0.582,0.564,0.811,100.265,0.168,0.529,0.104,0
pop rap,0.708,0.593,0.635,123.121,0.549,0.0901,0.123,0
pop rap,0.00569,0.632,0.544,101.984,0.336,0.176,0.297,0
pop rap,0.0402,0.543,0.473,125.242,0.435,0.112,0.09,0
pop rap,0.577,0.38,0.77,79.166,0.965,0.668,0.23,0
pop rap,0.0441,0.577,0.559,96.052,0.0601,0.0389,0.331,1e-05
pop rap,0.336,0.422,0.667,124.898,0.15,0.0843,0.194,0
pop rap,0.271,0.744,0.526,111.432,0.124,0.463,0.138,0.000354
pop rap,0.185,0.397,0.511,78.993,0.122,0.0502,0.133,0.00264
pop rap,0.972,0.158,,0,,,0.104,0
pop rap,0.983,0.431,0.757,71.666,0.913,0.906,0.108,0.000111
pop rap,0.0363,0.812,0.822,95.11,0.361,0.295,0.107,0
pop rap,0.236,0.924,0.471,91.917,0.676,0.31,0.235,0
pop rap,0.0473,0.655,0.783,142.098,0.389,0.146,0.175,0
pop rap,0.133,0.582,0.762,105.989,0.392,0.0729,0.334,1.63e-06
dance pop,0.0392,0.584,0.883,144.975,0.771,0.0465,0.0869,4.39e-06
pop,0.0392,0.584,0.883,144.975,0.771,0.0465,0.0869,4.39e-06
pop christmas,0.0392,0.584,0.883,144.975,0.771,0.0465,0.0869,4.39e-06
dance pop,0.66,0.203,0.399,134.202,0.418,0.0298,0.27,0.000163
pop,0.66,0.203,0.399,134.202,0.418,0.0298,0.27,0.000163
pop christmas,0.66,0.203,0.399,134.202,0.418,0.0298,0.27,0.000163
dance pop,0.272,0.806,0.619,95,0.873,0.0483,0.0671,0
pop,0.272,0.806,0.619,95,0.873,0.0483,0.0671,0
pop christmas,0.272,0.806,0.619,95,0.873,0.0483,0.0671,0
dance pop,0.0752,0.534,0.725,91.974,0.543,0.0946,0.0919,0
pop,0.0752,0.534,0.725,91.974,0.543,0.0946,0.0919,0
pop christmas,0.0752,0.534,0.725,91.974,0.543,0.0946,0.0919,0
dance pop,0.323,0.61,0.685,94.384,0.319,0.0439,0.102,0
pop,0.323,0.61,0.685,94.384,0.319,0.0439,0.102,0
pop christmas,0.323,0.61,0.685,94.384,0.319,0.0439,0.102,0
dance pop,0.0546,0.466,0.42,115.004,0.183,0.0326,0.298,0.00389
pop,0.0546,0.466,0.42,115.004,0.183,0.0326,0.298,0.00389
pop christmas,0.0546,0.466,0.42,115.004,0.183,0.0326,0.298,0.00389
dance pop,0.11,0.314,0.671,110.898,0.295,0.244,0.0825,0
pop,0.11,0.314,0.671,110.898,0.295,0.244,0.0825,0
pop christmas,0.11,0.314,0.671,110.898,0.295,0.244,0.0825,0
dance pop,0.547,0.38,0.509,127.88,0.248,0.158,0.36,1.21e-06
pop,0.547,0.38,0.509,127.88,0.248,0.158,0.36,1.21e-06
pop christmas,0.547,0.38,0.509,127.88,0.248,0.158,0.36,1.21e-06
dance pop,0.199,0.803,0.44,151.777,0.504,0.0443,0.0591,0.00282
pop,0.199,0.803,0.44,151.777,0.504,0.0443,0.0591,0.00282
pop christmas,0.199,0.803,0.44,151.777,0.504,0.0443,0.0591,0.00282
dance pop,0.751,0.391,0.53,82.215,0.531,0.0286,0.187,6.97e-05
pop,0.751,0.391,0.53,82.215,0.531,0.0286,0.187,6.97e-05
pop christmas,0.751,0.391,0.53,82.215,0.531,0.0286,0.187,6.97e-05
dance pop,0.0717,0.637,0.509,172.006,0.385,0.0471,0.0789,1.08e-05
pop,0.0717,0.637,0.509,172.006,0.385,0.0471,0.0789,1.08e-05
pop christmas,0.0717,0.637,0.509,172.006,0.385,0.0471,0.0789,1.08e-05
dance pop,0.112,0.567,0.292,153.199,0.403,0.0416,0.119,1.01e-06
